C05488	11-Deoxycortisol
C12003	Demethyllactenocin
C01576	Etoposide
C00068	Thiamin diphosphate
C13309	2-Phytyl-1,4-naphthoquinone
C06071	Deoxyloganin
C06792	cis-1,2-Dichloroethene
C06000	(S)-3-Hydroxyisobutyryl-CoA
C03771	5-Guanidino-2-oxopentanoate
C19559	(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-Tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol
C15521	Alkanesulfonate
C02646	4-Coumaryl alcohol
C03221	2-trans-Dodecenoyl-CoA
C05951	Leukotriene D4
C19887	LysW-gamma-L-alpha-aminoadipyl 6-phosphate
C11004	2,6-Dimethylaniline
C00272	Tetrahydrobiopterin
C14827	9(S)-HPODE
C00506	L-Cysteate
C07027	N6,N6,O-Tridemethylpuromycin-5'-phosphate
C21949	(11Z,14Z,17Z,20Z,23Z)-Hexacosapentaenoyl-CoA
C06506	Adenosyl cobyrinate a,c diamide
C00905	D-Fructuronate
C15802	6-Deoxocastasterone
C12448	Ecgonine methyl ester
C01885	1-Acylglycerol
C04244	6-Lactoyl-5,6,7,8-tetrahydropterin
C01010	Urea-1-carboxylate
C20253	Aminoacrylate
C04574	di-trans,poly-cis-Undecaprenyl diphosphate
C05660	5-Methoxyindoleacetate
C16358	1-Methylxanthine
C05896	Crosslinked peptidoglycan
C03640	Sphingosyl-phosphocholine
C00352	D-Glucosamine 6-phosphate
C05139	16alpha-Hydroxydehydroepiandrosterone
C05966	15(S)-HPETE
C05832	5-Hydroxyindoleacetylglycine
C06104	Adipate
C03691	CMP-N-glycoloylneuraminate
C00490	Itaconate
C17216	2-Oxo-6-methylthiohexanoic acid
C00022	Pyruvate
C16322	9-Oxononanoic acid
C16308	Traumatic acid
C20638	GDP-4-amino-4,6-dideoxy-alpha-D-mannose
C16848	6-Deoxy-5-ketofructose 1-phosphate
C03248	Acetylenedicarboxylate
C01433	Loganin
C11134	Testosterone glucuronide
C00062	L-Arginine
C14781	15H-11,12-EETA
C17554	3-Polyprenyl-4,5-dihydroxybenzoate
C01835	Maltotriose
C21875	Aurachin A
C00482	Sinapate
C05749	Hexanoyl-[acp]
C06398	ADP-L-glycero-beta-D-manno-heptose
C11374	GW1843
C07733	2,2',3-Trihydroxydiphenylether
C05962	6-Keto-prostaglandin E1
C04052	5-Carboxy-2-oxohept-3-enedioate
C06866	Capsaicin
C15891	Endomorphin-2
C18871	Glutathioselenol
C15970	Abscisic acid glucose ester
C05130	Imidazole-4-acetaldehyde
C16572	3-Hydroxymonoethylglycinexylidide
C00037	Glycine
C00559	Deoxyadenosine
C02823	Cyanocobalamin
C05433	alpha-Carotene
C20248	7-Carboxy-7-carbaguanine
C16348	cis-3-Chloroallyl aldehyde
C11554	1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate
C11878	(-)-Abietadiene
C16634	5-Fluorouridine monophosphate
C19888	LysW-gamma-L-alpha-aminoadipate 6-semialdehyde
C21790	Trehalose dimycolate
C05731	3-Ketosucrose
C20972	Angiotensi
C18038	7alpha-Hydroxypregnenolone
C00641	1,2-Diacyl-sn-glycerol
C00493	Shikimate
C04063	D-myo-Inositol 3,4-bisphosphate
C00785	Urocanate
C00008	ADP
C05273	trans-Tetradec-2-enoyl-CoA
C04302	N-(5-Phospho-D-ribosyl)anthranilate
C11436	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
C00087	Sulfur
C04919	2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate
C00740	D-Serine
C01416	Cocaine
C15613	(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
C01051	Uroporphyrinogen III
C00158	Citrate
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
C20304	S-(2-Chloroethyl)glutathione
C01151	D-Ribose 1,5-bisphosphate
C05998	3-Hydroxyisovaleryl-CoA
C17322	tRNA containing 2-thiouridine
C03622	N-Hydroxy-4-aminobiphenyl
C21478	Erastin
C03164	Phenanthrene-3,4-diol
C06728	3-Ethylcatechol
C01877	4-Oxoproline
C01401	Alanine
C01245	D-myo-Inositol 1,4,5-trisphosphate
C00536	Triphosphate
C19699	Dichloroarcyriaflavin A
C04089	UDP-4-dehydro-6-deoxy-D-glucose
C07101	2,4,5-Trichlorophenol
C11039	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate
C04088	Octadecanoyl-[acyl-carrier protein]
C16557	Carboxyifosfamide
C06406	Precorrin 3B
C00190	UDP-D-xylose
C02170	Methylmalonate
C19595	Aflatoxin B1-endo-8,9-epoxide
C06145	3-Butyn-1-al
C21835	12,18-Didecarboxysiroheme
C12560	Saquinavir mesylate
C00921	Dihydropteroate
C00547	L-Noradrenaline
C05980	Cardiolipin
C01073	N-Acetyl-beta-alanine
C18169	Diacylglyceryl-N,N,N-trimethylhomoserine
C05994	2-Propylmalate
C11148	TCE epoxide
C12323	L-4-Hydroxyphenylglycine
C05350	2-Hydroxy-3-(4-hydroxyphenyl)propenoate
C00350	Phosphatidylethanolamine
C19563	4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone
C05695	gamma-Glutamyl-Se-methylselenocysteine
C00829	Naphthalene
C04257	N-Acetyl-D-mannosamine 6-phosphate
C11556	1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate
C20513	6-Hydroxytryprostatin B
C03035	gamma-Linolenoyl-CoA
C04146	all-trans-Octaprenyl diphosphate
C05813	2-Octaprenyl-6-methoxy-1,4-benzoquinone
C01850	Rosmarinate
C01546	2-Furoate
C14793	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene
C18905	Methylselenocysteine Se-oxide
C00320	Thiosulfate
C07512	Tetraethylammonium
C14833	9,12,13-TriHOME
C21485	Cytidylyl molybdenum cofactor
C02627	2-Deoxystreptamine
C04652	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine
C21140	Aurachin B
C05824	S-Sulfo-L-cysteine
C20640	Cyclic GMP-AMP
C00236	3-Phospho-D-glyceroyl phosphate
C16555	2-Dechloroethylifosfamide
C02047	L-Leucyl-tRNA
C00237	CO
C06564	Penicillin N
C03470	3-alpha(S)-Strictosidine
C18329	7,9,12-Octaketide intermediate 3
C16242	Cobalt-precorrin 5A
C02470	Xanthurenic acid
C01268	5-Amino-6-(5'-phosphoribosylamino)uracil
C01769	(S)-Acetoin
C15672	Heme O
C08579	Antheraxanthin
C16330	3-Oxo-OPC8-CoA
C00188	L-Threonine
C07209	3-Methylbenzaldehyde
C05746	3-Oxohexanoyl-[acp]
C16166	(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA
C01189	Lathosterol
C16300	Stearidonic acid
C06002	(S)-Methylmalonate semialdehyde
C01613	Stachyose
C05497	21-Deoxycortisol
C00144	GMP
C15987	4-Methylaminobutyrate
C00882	Dephospho-CoA
C01153	Orthophosphoric monoester
C00942	3',5'-Cyclic GMP
C18134	Dihydroechinofuran
C03599	CDP-3,6-dideoxy-D-mannose
C00513	CDP-glycerol
C20265	2,3-Epoxymenaquinone
C01143	(R)-5-Diphosphomevalonate
C00031	D-Glucose
C08276	3-(Methylthio)propanoate
C00127	Glutathione disulfide
C20940	L-Dihydroanticapsin
C00135	L-Histidine
C01083	alpha,alpha-Trehalose
C17332	7alpha,25-Dihydroxy-4-cholesten-3-one
C22112	4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol
C00101	Tetrahydrofolate
C06425	Icosanoic acid
C01077	O-Acetyl-L-homoserine
C12384	Premithramycin A1
C05577	3,4-Dihydroxymandelaldehyde
C20995	gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide
C00019	S-Adenosyl-L-methionine
C00448	trans,trans-Farnesyl diphosphate
C19757	(Z)-3-Hexen-1-ol acetate
C20500	(1'S,5'S)-5'-Hydroxyaverantin
C02773	1-Alkyl-sn-glycerol
C01693	L-Dopachrome
C17215	3-(3'-Methylthio)propylmalic acid
C00634	Chondroitin 4-sulfate
C05784	Catalase
C06118	4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate
C12621	trans-3-Hydroxycinnamate
C20376	3-Ketopimeloyl-[acp] methyl ester
C14154	beta-Tocotrienol
C02371	4-Fluorobenzoate
C07024	3'-Keto-3'-deoxy-ATP
C03217	2-Hydroxy-3-oxoadipate
C05103	4alpha-Methylzymosterol
C16525	Icosadienoic acid
C00940	2-Oxoglutaramate
C11979	Avermectin B1a aglycone
C17962	Demethylphosphinothricin
C00043	UDP-N-acetyl-alpha-D-glucosamine
C06052	5-Pyridoxolactone
C21074	dTDP-3-N,N-dimethylamino-4-oxo-2,3,6-trideoxy-L-allose
C12416	Nogalonate
C08418	Glucoputranjivin
C06181	Piperideine
C00219	Arachidonate
C04717	(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid
C00149	(S)-Malate
C00033	Acetate
C17230	2-(7'-Methylthio)heptylmalic acid
C03402	L-Asparaginyl-tRNA(Asn)
C14794	2,3-Dinor-8-iso prostaglandin F2alpha
C01161	3,4-Dihydroxyphenylacetate
C05299	2-Methoxyestrone
C00971	4-Pyridoxolactone
C01953	Pregnenolone
C00668	alpha-D-Glucose 6-phosphate
C18160	Bacteriochlorophyllide d
C16276	epsilon-Carotene
C18334	7,9,12-Decaketide intermediate 5
C00502	D-Xylonate
C20375	Glutaryl-[acp] methyl ester
C19830	(5S,6S)-6-Amino-5-hydroxycyclohexa-1,3-diene-1-carboxylate
C00261	Benzaldehyde
C05672	2-Amino-3-phosphonopropanoate
C20653	2-Benzylmalic acid
C03912	(S)-1-Pyrroline-5-carboxylate
C12622	cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol
C15646	1-(1-Alkenyl)-sn-glycero-3-phosphate
C02612	(R)-2-Methylmalate
C09823	Cyclohexane-1-carboxyl-CoA
C07394	Paclitaxel
C04554	3alpha,7alpha-Dihydroxy-5beta-cholestanate
C00410	Progesterone
C16165	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA
C05430	all-trans-zeta-Carotene
C21126	K-252c
C01185	Nicotinate D-ribonucleotide
C00705	dCDP
C01063	6-Carboxyhexanoyl-CoA
C06174	Codeine
C04350	(E)-4-Hydroxyphenylacetaldehyde oxime
C04079	N-((R)-Pantothenoyl)-L-cysteine
C18294	Nonaketamide tricyclic intermediate
C16677	all-trans-4-Hydroxyretinoic acid
C07557	2,3,7,8-Tetrachlorodibenzodioxin
C00182	Glycogen
C05576	3,4-Dihydroxyphenylethyleneglycol
C00700	XTP
C16345	Volicitin
C19745	UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate
C21206	1,7-Diphospho-1-epi-valienol
C16321	9(S)-HPOT
C06227	Fe(III)hydroxamate
C17938	5,6-Indolequinone-2-carboxylic acid
C15995	Bombesin
C16616	6-Mercaptopurine ribonucleoside 5'-diphosphate
C00096	GDP-mannose
C04121	CMP-3-deoxy-D-manno-octulosonate
C11523	24-Ethylidenelophenol
C00282	Hydrogen
C11242	Bacteriochlorophyll a
C22116	3beta-Hydroxy-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(24(1))-en-4alpha-carboxylate
C19591	1,2,3,4-Tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal
C03724	S-(5-Hydroxy-2-furoyl)-CoA
C20361	Pseudooxynicotine
C05432	Lycopene
C00601	Phenylacetaldehyde
C08262	3-Methylbutanoic acid
C00118	D-Glyceraldehyde 3-phosphate
C04478	3-Deoxy-D-manno-octulosonate 8-phosphate
C20773	6-Amino-6-deoxyfutalosine
C16682	9-cis-Retinol
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine
C21749	5-Fluorouridine triphosphate
C18333	7,9,12-Decaketide intermediate 4
C20794	n-7 Unsaturated acyl-[acyl-carrier protein]
C00259	L-Arabinose
C04432	tRNA containing 6-isopentenyladenosine
C22120	4alpha-Carboxy-stigmasta-7,24(24(1))-dien-3beta-ol
C00908	Gentamicin C1a
C21559	N-[(2S)-2-Amino-2-carboxyethyl]-L-glutamate
C05781	Oxyhemoglobin
C03401	L-2,3-Diaminopropanoate
C17244	3-Methylthiopropyl-desulfoglucosinolate
C05958	Delta-12-Prostaglandin J2
C21007	5,6,7,8-Tetrahydromonapterin
C16559	Isophosphoramide mustard
C05400	Epimelibiose
C16547	Endoxifen
C09820	Benzoylsuccinyl-CoA
C11830	13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester
C04874	7,8-Dihydroneopterin
C00935	UDP-L-arabinose
C06304	(+)-Camphene
C21642	4-Hydroxynonenal
C07123	2-Hydroxy-6-oxo-octa-2,4-dienoate
C05983	Propionyladenylate
C06715	3-Oxopimeloyl-CoA
C02218	Dehydroalanine
C05795	D-Urobilin
C18004	5''-Phosphoribostamycin
C19939	Pentalen-13-al
C16541	Chlorophyllide b
C00378	Thiamine
C00314	Pyridoxine
C05837	Glucobrassicin
C20186	5S,8R-DiHODE
C01203	Oleoyl-[acyl-carrier protein]
C00473	Retinol
C12369	Tetracenomycin B3
C21279	BGC 945
C00682	2-Hydroxymuconate semialdehyde
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide
C20948	LysW-L-glutamate
C08301	D-Cathinone
C06659	Dihydroclavaminic acid
C00058	Formate
C04315	2-Acyl-3-O-(beta-D-galactosyl)-sn-glycerol
C06791	trans-1,2-Dichloroethene
C02189	[Protein]-L-serine
C14835	9,10,13-TriHOME
C00169	Carbamoyl phosphate
C15890	Endomorphin-1
C05984	2-Hydroxybutanoic acid
C05905	Cyanidin
C08607	Neurosporaxanthin
C20974	8-Demethyl-8-alpha-L-rhamnosyltetracenomycin C
C03981	2-Hydroxyethylenedicarboxylate
C20775	beta-Citryl-L-glutamate
C05894	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine
C16327	OPC8-CoA
C17581	3-Amino-2,3-dideoxy-scyllo-inosose
C20287	2-Acetoxyamino-1-methyl-6-phenylimidazo[4,5-b]pyridine
C02141	Cycloeucalenol
C12673	Tegafur
C17941	2-Oxo-4-phosphonobutanoate
C16241	(R)-Lipoate
C10998	4-Aminobiphenyl
C22161	Dihydrolipoyl-AMP
C16675	7-Aminomethyl-7-carbaguanine
C09811	Cyclohex-1-ene-1-carboxyl-CoA
C07289	Crepenynate
C06194	2',3'-Cyclic GMP
C20848	(R)-Mevalonate 3,5-bisphosphate
C14774	11,12-DHET
C03291	L-Xylulose 5-phosphate
C00860	L-Histidinol
C14797	(1R)-N-Acetyl-L-cysteinyl-(2R)-hydroxy-1,2-dihydronaphthalene
C00055	CMP
C05822	3'-CMP
C00885	Isochorismate
C06197	P1,P3-Bis(5'-adenosyl) triphosphate
C06620	dTDP-3,4-dioxo-2,6-dideoxy-D-glucose
C08323	(15Z)-Tetracosenoic acid
C04534	6-Phospho-beta-D-glucosyl-(1,4)-D-glucose
C01040	L-Gulono-1,4-lactone
C18872	Trimethylselenonium
C16556	Aldoifosfamide
C03990	Lithocholic acid
C21450	4-(2-Hydroxyethoxycarbonyl)benzoate
C06454	Fosfomycin
C15881	Spirilloxanthin
C16151	2,6-Dihydroxy-N-methylmyosmine
C11457	3-(3-Hydroxyphenyl)propanoic acid
C20387	Biotin sulfone
C20776	N-Acetylaspartylglutamylglutamate
C17569	Ubiquinone-8
C07093	3,6-Dichloro-cis-1,2-dihydroxycyclohexa-3,5-diene
C05804	2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C11438	C-1027 Chromophore
C21433	12-Ethyl-8-propylbacteriochlorophyllide d
C05332	Phenethylamine
C20838	3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl-CoA
C07122	Melphalan
C18202	8-Methyl-6-nonenoic acid
C20522	Dihydrourocanate
C05830	8-Methoxykynurenate
C01120	Sphinganine 1-phosphate
C01802	Desmosterol
C01301	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al
C14828	9,10-DHOME
C01157	Hydroxyproline
C03508	L-2-Amino-3-oxobutanoic acid
C01113	D-Galactose 6-phosphate
C20386	Biotin sulfoxide
C01132	N-Acetyl-D-galactosamine
C21028	(R)-5,6-Dihydrothymine
C22123	Avenastenone
C06687	Norfloxacin
C01209	Malonyl-[acyl-carrier protein]
C11173	SN-38
C00363	dTDP
C05583	3-Methoxy-4-hydroxyphenylglycolaldehyde
C00133	D-Alanine
C06442	N(gamma)-Acetyldiaminobutyrate
C21582	Bacteriochlorophyllide e
C11874	Kaur-16-en-18-oic acid
C05798	Bacteriopheophytin
C03428	Presqualene diphosphate
C05412	L-Lyxonate
C03684	6-Pyruvoyltetrahydropterin
C16651	3-Hydroxyvalproic acid
C01205	(R)-3-Amino-2-methylpropanoate
C03765	4-Hydroxyphenylacetaldehyde
C05947	L-erythro-4-Hydroxyglutamate
C11437	1-Deoxy-D-xylulose 5-phosphate
C00046	RNA
C14806	1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene
C15518	(24S)-Cholest-5-ene-3beta,7alpha,24-triol
C07087	2-Hydroxy-6-oxoocta-2,4,7-trienoate
C14847	3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene
C05294	19-Hydroxytestosterone
C00823	1-Hexadecanol
C00249	Hexadecanoic acid
C20350	2'-Deamino-2'-hydroxyneamine
C04575	(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate
C06790	Trichloroethene
C00226	Primary alcohol
C05977	2-Acyl-1-alkyl-sn-glycero-3-phosphate
C02984	L-Aspartyl-tRNA(Asp)
C05823	3-Mercaptolactate
C00004	NADH
C17248	4-Methylthiobutyl-desulfoglucosinolate
C00243	Lactose
C14776	8(S)-HETE
C11278	Aflatoxin B1exo-8,9-epoxide-GSH
C00398	Tryptamine
C07014	Fluvastatin
C06207	2,6-Dihydroxyphenylacetate
C17022	O-Phosphoseryl-tRNA(Cys)
C06576	p-Cumic alcohol
C20582	cis-(Homo)3-aconitate
C21758	Hepatotoxins
C11131	2-Methoxy-estradiol-17beta 3-glucuronide
C21260	5''-Phosphoribosylparomamine
C02161	2-Aminophenoxazin-3-one
C18326	p-Coumaroylputrescine
C11962	5-Oxoavermectin ''1b'' aglycone
C01149	4-Trimethylammoniobutanal
C00695	Cholic acid
C16363	N-Methylurea
C22075	Staphyloferrin B
C02839	L-Tyrosyl-tRNA(Tyr)
C05580	3,4-Dihydroxymandelate
C01678	Cysteamine
C06056	4-Hydroxy-L-threonine
C02702	L-Prolyl-tRNA(Pro)
C07478	2-Hydroxy-5-methyl-cis,cis-muconate
C00762	Cortisone
C16741	L-Hydroxylysine
C03415	N2-Succinyl-L-ornithine
C05502	22(R)-Hydroxycholesterol
C06656	Deoxyguanidinoproclavaminic acid
C00501	CDP-glucose
C20559	4-(beta-D-Ribofuranosyl)aniline 5'-phosphate
C05841	Nicotinate D-ribonucleoside
C00141	3-Methyl-2-oxobutanoic acid
C01912	Erythromycin
C11691	Stemmadenine
C06098	Zeaxanthin
C20950	LysW-L-glutamate 5-semialdehyde
C06579	cis-2,3-Dihydroxy-2,3-dihydro-p-cumate
C03747	11alpha-Hydroxyprogesterone
C05280	cis,cis-3,6-Dodecadienoyl-CoA
C05932	N-Succinyl-L-glutamate 5-semialdehyde
C05698	Selenohomocysteine
C03516	Magnesium protoporphyrin
C00152	L-Asparagine
C17997	Oxyapramycin
C07490	Trichloroethanol
C00437	N-Acetylornithine
C03974	2-Acyl-sn-glycerol 3-phosphate
C01163	3-Carboxy-cis,cis-muconate
C06628	4-Hydroxy-6-methylpretetramide
C13713	Allotetrahydrodeoxycorticosterone
C02647	4-Guanidinobutanal
C22053	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-L-glutamate
C05629	Phenylpropanoate
C01054	(S)-2,3-Epoxysqualene
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate
C06319	Precorrin 6Y
C19566	4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone
C07480	Theobromine
C11713	2-Naphthol
C05513	Urate-3-ribonucleoside
C16631	alpha-Fluoro-beta-ureidopropionic acid
C14748	20-HETE
C11926	dTDP-4-oxo-6-deoxy-D-allose
C01934	L-Rhamnonate
C00507	L-Rhamnose
C01384	Maleic acid
C14848	2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene
C01490	Dermatan
C00541	Cob(II)alamin
C00993	D-Alanyl-D-alanine
C08316	Erucic acid
C06102	Adipate semialdehyde
C02364	3-Fluorobenzoate
C06070	Iridotrial
C05539	N-Acetyl-L-2-amino-6-oxopimelate
C21011	[Protein]-N(epsilon)-(carboxymethyl)lysine
C05677	Lipophosphonoglycan
C06022	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine
C20760	20-Oxo-5-O-beta-mycaminosyltylactone
C05973	2-Acyl-sn-glycero-3-phosphoethanolamine
C00757	Berberine
C01212	UDP-N-acetylmuramoyl-L-alanine
C05131	(1-Ribosylimidazole)-4-acetate
C00027	Hydrogen peroxide
C04475	1-Alkyl-2-acylglycerophosphoethanolamine
C01059	2,5-Dihydroxypyridine
C00221	beta-D-Glucose
C22014	7-Deoxyloganetic alcohol
C00793	D-Cysteine
C04236	(2S)-2-Isopropyl-3-oxosuccinate
C01407	Benzene
C22038	(R)-3-(3,4-Dihydroxyphenyl)lactate
C01353	Carbonic acid
C07026	3'-Amino-3'-deoxy-AMP
C09727	(-)-Epicatechin
C00861	L-Rhamnulose
C11882	Abietinol
C06893	2-Deoxy-5-keto-D-gluconic acid 6-phosphate
C16220	(R)-3-Hydroxyoctadecanoyl-[acp]
C16578	Morphine-6-glucuronide
C00474	Ribitol
C05761	Tetradecanoyl-[acp]
C04666	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
C14804	1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene
C06033	Parapyruvate
C18151	7(1)-Hydroxychlorophyll a
C00534	Pyridoxamine
C17224	2-Oxo-8-methylthiooctanoic acid
C00508	L-Ribulose
C03548	trans-2,3-Epoxysuccinate
C03058	2-Hydroxyglutaryl-CoA
C11919	dTDP-L-megosamine
C19688	2-Imino-3-(7-chloroindol-3-yl)propanoate
C16389	(6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapentaenoyl-CoA
C15879	Hydroxyspirilloxanthin
C04722	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate
C16553	4-Hydroxyifosfamide
C19794	CDP-1L-myo-inositol
C03205	11-Deoxycorticosterone
C07838	D-glycero-beta-D-manno-Heptose 1-phosphate
C19564	4-(Nitrosoamino)-1-(3-pyridinyl)-1-butanone
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]
C15545	cis-Zeatin
C01962	Thiocysteine
C05809	3-Octaprenyl-4-hydroxybenzoate
C17589	6'''-Deamino-6'''-oxoneomycin C
